Plot ,GT_DSC,AC,PV,TV,BD,FV,SB,LO,PT,PASTEMP_RECALC,HRD,ADH,COH,SPR,SMMAX,LM_SMMAX,TD_SMMAX,TEMP_GELPT,TEMP_SMMAX,TROUGH_SM,SLOPE1_SM,SLOPE2_SM_abs,SLOPE3_LM,SLOPE4_LM_abs,PC
Plt0514,75.57,23.6,165.33,109.25,56.08,226.25,60.92,117,5.9,72.75,1882.34,10.49,0.33,0.11,21910,2078,0.09,61.7,92.97,3910,2130.1375,1247.455,859.4625,1338.3325,9.4
Plt0515,76.09,25.1,202.83,142.08,60.75,254.42,51.58,112.33,6.1,79,1787.39,19.61,0.37,0.11,50713.33,5713.67,0.11,59.5,79,18566.67,5967.85,1796.07,2324.0275,1146.8825,8.93
Plt0516,77.46,24.7,183.58,110.58,73,224.08,40.5,113.5,5.7,77.5,2782.85,12.51,0.47,0.13,26370,2463.67,0.09,62.4,87.57,13950,3248.54,1415.1125,1117.7775,1923.6225,7.91
Plt0518,77.44,25.6,179.25,107.5,71.75,226.33,47.08,118.83,5.7,77.5,1342.46,14.24,0.4,0.1,31883.33,3077,0.1,62.75,82.57,12833.33,4036.8025,1447.9825,1010.3325,617.5925,8.33
Plt0525,76.1,25.5,170.17,110.5,59.67,226.58,56.42,116.08,5.8,76.8,2223.24,17.79,0.41,0.11,23176.67,1902.67,0.09,66.4,85.3,10850,7145,1169.615,1554.25,2890.625,8.15
Plt0539,77.11,26.8,293.17,211.67,81.5,362.83,69.67,151.17,6.3,80.6,1430.54,21.93,0.44,0.09,37556.67,4336,0.11,61.97,82.47,14733.33,11181.4175,1627.2675,1798,1182.36,7.97
Plt0543,79.94,22.7,283.58,164.17,119.42,288.67,5.08,124.5,6.1,83.05,1500.44,60.28,0.41,0.11,29146.67,2891,0.1,62.17,81.97,10723.33,4697.2225,1236.005,864.1675,1757.4325,6.49
Plt0544,68.67,26.9,110.42,86.75,23.67,131.83,21.42,45.08,6.3,81.45,1109.92,22.18,0.27,0.08,52520,5286.33,0.1,53.73,72.43,15650,5490.5275,1645.3625,1719.3325,2655.25,7.79
Plt0551,76.79,23.4,285.33,196,89.33,332.83,47.5,136.83,6,77.5,881.22,7.63,0.47,0.1,26753.33,3914.33,0.15,62.8,85.17,11355,1158.8975,1512.81,637.5225,927.93,8.39
Plt0558,76.12,26.2,203.67,124.75,78.92,276.42,72.75,151.67,5.7,78.3,2126.52,10.99,0.47,0.13,47843.33,5429.67,0.11,62.7,77,16150,8863.0175,1582.0075,2806.44,812.205,7.08
Plt0563,77.39,22.2,243.42,140.83,102.58,277.08,33.67,136.25,5.8,78.3,1561.87,22.5,0.38,0.09,35693.33,4316.67,0.12,57.05,80.23,13075,5708.93,1490.9175,1770.3975,920.27,8.45
Plt0568,76.61,24.5,276,208.58,67.42,346.5,70.5,137.92,6.2,79,2278.47,25.09,0.49,0.12,44973.33,5131.33,0.11,62.6,79.97,16700,6571.4375,1756.43,1238.0625,1185.61,9.34
Plt0599,76.51,23.1,199.42,126.67,72.75,271.75,72.33,145.08,5.9,79,2193.37,18.68,0.43,0.12,41180,4022,0.1,62.4,79.53,13966.67,5998.3025,1854.135,1443,904.825,9.46
Plt0604,76.36,25.6,178.5,130.17,48.33,236.5,58,106.33,6,78.3,1994.38,17.3,0.38,0.12,50876.67,4972.33,0.1,61.93,77.53,17500,7226.21,1681.14,828.125,940.235,8.45
Plt0622,77.01,24.2,162.75,99.42,63.33,219.42,56.67,120,5.7,79,860.75,4.62,0.55,0.11,44433.33,5066,0.11,61.07,79.1,15200,4615.07,1798.38,1437.1,973.36,7.56
Plt0625,75.65,26,290.75,188.33,102.42,341.75,51,153.42,5.6,76.8,2789.65,19.56,0.46,0.13,19160,1384,0.07,61.3,92.87,14150,3540.5675,1304.055,974.25,1527.0425,7.97
Plt0630,75.99,24.9,211.67,133.33,78.33,262.17,50.5,128.83,5.8,77.5,2793.55,18.48,0.42,0.14,38590,3478.67,0.09,62.4,82.2,16966.67,9651.9425,1459.66,2049.0775,1275.98,9.04
Plt0631,76.26,26.1,286.67,199.83,86.83,350.75,64.08,150.92,6.1,77.5,2042.31,14.41,0.4,0.12,34670,2825.33,0.08,62.17,83.37,12900,6570.7975,1509.4325,1169.54,1501.3825,7.79
Plt0646,77.73,26,216.75,116.42,100.33,274.17,57.42,157.75,5.5,78.3,1559.67,17.58,0.42,0.1,42453.33,5283.67,0.12,63.47,77.9,15266.67,8913.5125,1688.9075,2149.64,819.515,6.96
Plt0650,76.66,24.3,271.58,201.92,69.67,360.67,89.08,158.75,6.1,78.3,2485.42,13.84,0.49,0.13,27536.67,3103.33,0.12,62.83,85.77,13833.33,3301.995,1220.0725,952.405,858.2925,8.33
Plt0651,76.77,24.5,212.5,129.33,83.17,277.25,64.75,147.92,5.7,77.5,1753.83,19.88,0.39,0.1,35933.33,4402.67,0.12,61.07,76.97,11066.67,6380.23,1317.9775,1334.055,771.3675,7.79
Plt0662,76.41,24.2,188.58,125.42,63.17,268.58,80,143.17,5.9,79,2033.25,19,0.39,0.1,34796.67,3989.67,0.11,60.4,81.83,12450,10561,1405.6675,1098.805,1128.8525,9.34
Plt0664,76.68,22.7,250.08,209.83,40.25,350.08,100,140.25,6.5,79.8,2086.05,9.12,0.39,0.1,41316.67,4786.67,0.11,64.4,83.1,16700,7574.2825,2086.3775,2656.1675,2028.395,11.13
